Amazon Prime,Discover,Subscriptions,Monthly,2,20
Invest VTI Stock,Discover,Invest VTI,Monthly,5,20
Pay Gas Bill,Discover,House,Monthly,5,100
Pay Electricity Bill,Bank of America,House,Monthly,5,150.25
Pay Car Insurance,Discover,Insurance,Monthly,7,1000
Pay Rent,Chase Checking,House,Monthly,10,1000
Spotify,Chase Checking,Subscriptions,Monthly,14,5.99
ADO Concert Tickets,Discover,Pay Person X Amount,Monthly,20,10
Netflix,Chase Checking,Subscriptions,Monthly,21,23.56
Tidal,Discover,Subscriptions,Monthly,22,5.65
